2026-03-29 17:18:39.000 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:18:39.010 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:19:36.986 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:19:36.993 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:20:32.727 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:20:32.730 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:21:09.473 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:21:09.481 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:24:59.526 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:24:59.535 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:25:40.795 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:25:40.803 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:25:55.256 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:25:55.262 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:30:34.545 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:30:34.553 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:34:17.887 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:34:17.895 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:35:25.175 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:35:25.186 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:36:15.567 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:36:15.575 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:36:49.547 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:36:49.556 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:37:17.786 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:37:17.786 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:38:15.917 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:38:15.931 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:38:41.841 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:38:47.136 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:39:04.410 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:39:04.423 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:39:05.800 | INFO     | Models:get_metrics:197 - Class: MLPNet | RMSE train: 1.1734
2026-03-29 17:39:05.800 | INFO     | Models:get_metrics:198 - Class: MLPNet | RMSE test: 1.1341
2026-03-29 17:39:05.802 | INFO     | Models:get_metrics:199 - Class: MLPNet | MAPE train: 427.1690
2026-03-29 17:39:05.802 | INFO     | Models:get_metrics:200 - Class: MLPNet | MAPE train: 421.6380
2026-03-29 17:41:30.941 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:41:30.952 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:42:43.823 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:42:43.831 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:43:15.119 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:43:15.128 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:44:02.814 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:44:02.823 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:44:19.877 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:44:19.884 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:44:21.285 | INFO     | Models:get_metrics:208 - Class: MLPNet | RMSE train: 1632549.5253
2026-03-29 17:44:21.286 | INFO     | Models:get_metrics:209 - Class: MLPNet | RMSE test: 1624349.5288
2026-03-29 17:44:21.286 | INFO     | Models:get_metrics:210 - Class: MLPNet | MAPE train: 105.8334
2026-03-29 17:44:21.286 | INFO     | Models:get_metrics:211 - Class: MLPNet | MAPE train: 107.0823
2026-03-29 17:45:03.966 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:45:03.977 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 1000, 'lr': 0.001, 'verbose': 100}
2026-03-29 17:45:06.454 | INFO     | Models:get_metrics:208 - Class: MLPNet | RMSE train: 424619.7709
2026-03-29 17:45:06.455 | INFO     | Models:get_metrics:209 - Class: MLPNet | RMSE test: 401453.8654
2026-03-29 17:45:06.455 | INFO     | Models:get_metrics:210 - Class: MLPNet | MAPE train: 29.7258
